###,DoubleSpace compressed volume file
kva,KVIrc compressed archive
kz,KuiaiZip archive
l01,ISOBuster Expert Witness Compression Format file
lg,Arhangel compressed archive
lha,file iconlha	LH ARC compressed archive
lhw,LHWarp Compressed Amiga archive
lhz,file iconlhz	LHA Compressed file archive
lim,Limit compressed data
lime,Lattice QCD Interchange Message Encapsulation format
liz,Compressed list data
lrz,lrzip compressed archive
ls5,HTML Compress compressed data
lz,LZIP compressed archive
lz4,LZ4 compressed data
lzh,file iconlzh	LH ARC compressed archive
lzm,Slax module file
lzma,file iconlzma	7-Zip compressed data
lzo,lzop archive
lzop,LZOP compressed data
lzp,Law and Order 3: Justice is Served game file
lzr,Crunched LBR archive
lzs,LARC compressed file archive
lzw,LZW compressed archive
lzx,Amiga LZX archive file
m3k,file iconm3k	Interactive Digital Content File
m99,M99 compressed data
macbin,file iconmacbin	MacBinary archive
maff,Mozilla archive format
mar,file iconmar	Mozilla archive file
mcp,MSN Content Plus installer file archive
md,MDCD compressed file archive
md5,Samsung Galaxy firmware archive
mdzip,MagicDraw compressed project
mgz,Metal Gear Solid game archive
mmip,MediaMonkey installation file
mn3,Descent 3 mission file
mo?,Standard mail archive file
mob,Master of Orion 3 game data
mos,MACAOS compressed transmission data
mou,MOU compressed format
mpkg,Meta package
mpq,file iconmpq	Blizzard Entertainment game archive
mrt,file iconmrt	Microsoft Visio 2010 installation archive
ms_,file iconms_	Microsoft Windows WinHelp compressed data
msa,Magic Shadow Archiver Atari disk image
mshc,Microsoft Help container
msu,file iconmsu	Microsoft Update Standalone Package
mtf,Darkstone game archive
mtz,Compressed MetaStream scene file
mu_,7-Zip 7z compressed archive
mva,Microsoft setup archive
mvdx,MindView mindmap archive
myo,MYOB data
mzf,MediaZip archive
mzip,Cisco IOS MZIP compressed image
mzz,Microsoft .NET Framework installation package
nbh,file iconnbh	HTC ROM update utility ROM image
nbm,Guy's Power Albums archive
nfp,Data archive
nks,Native Instruments archive file
nkx,Native Instruments Monolith data
nmd,file iconnmd	Nero miniDVD compilation data
nmt,Popcorn Hour A-300 NMT package
npk,MikroTik RouterOS upgrade package
npk,NPK archive
npr,Nuendo file
nsarc,Neurosoft archive
ntfs,7-zip NTFS archive
nuget,NuGet package file
nupkg,NuGet source code package
nw_,Noteworthy Composer compressed data
nwcab,Neat Software cabinet
nxm,Nexus Mod Manager archive
nz,NanoZip compressed archive
oap,file iconoap	Samsung bada signed installation package
oar,OpenSimulator archive
obpack,file iconobpack	ObjectBar theme pack
obr,OSGi Bundle Repository data
oc_,Compressed ActiveX control data
od_,Oracle compressed driver
oop,OOP Packer archive
opg,Offline Plan Generation package
owr,PeopleSoft results archive
oz,Opera Job Management compressed data
p17,PAR recovery volume
p22,PAR recovery volume
p23,PAR recovery volume
p28,PAR recovery volume
pac,CrossePAC archive file
pac,Desperados game archive
pack,GLSL pack
pack.gz,Pack200 compressed archive file
package,Linux Autopackage file
pact,Compact Pro (Compactor) archive
pae,PowerArchiver encrypted archive
pak,CrazyTalk SFX file
pak,Game resource package
pak,ZLIB PAK archive
paq,Hewlett-Packard system backup ZIP data
paq6,PAQ6 data archive
paq8o,PAQ data archive
par2,PAR2 recovery volume
part00000,Ashampoo WinOptimizer split archive (part 1)
part1.exe,file iconpart1.exe	Split Multi-volume RAR compressed self-extracting file archive (part 1)
part1.rar,file iconpart1.rar	Split Multi-volume RAR compressed file archive (part 1)
part10.rar,file iconpart10.rar	Split Multi-volume RAR compressed file archive (part 10)
part11.rar,file iconpart11.rar	Split Multi-volume RAR compressed file archive (part 11)
part2.rar,file iconpart2.rar	Split Multi-volume RAR compressed file archive (part 2)
part3.rar,file iconpart3.rar	Split Multi-volume RAR compressed file archive (part 3)
part4.rar,file iconpart4.rar	Split Multi-volume RAR compressed file archive (part 4)
part5.rar,file iconpart5.rar	Split Multi-volume RAR compressed file archive (part 5)
part6.rar,file iconpart6.rar	Split Multi-volume RAR compressed file archive (part 6)
part7.rar,file iconpart7.rar	Split Multi-volume RAR compressed file archive (part 7)
part8.rar,file iconpart8.rar	Split Multi-volume RAR compressed file archive (part 8)
part9.rar,file iconpart9.rar	Split Multi-volume RAR compressed file archive (part 9)
pax,PAX archive
pck,Program package
pe3,Ulead PhotoImpact image archive
pe4,file iconpe4	Ulead image archive
pea,PeaZip pack encrypt authenticate file
pet,Puppy Linux install package file
pf_,Encore compressed data
pgz,StreamLync download archives
phar,PHP Extension and Application Repository archive
pi$,Microsoft compressed PIF program information
pit,PackIt for Mac compressed archive file
piz,Renamed zip archive
pk1,XS game data
pk2,XS game file
pk7,Casio electronic keyboard data package
pka,PKArc compressed file archive
pkd,Turbo Pascal for DOS compressed batch data
pkg,Archive or installation package
pkg,InstallShield compiled setup package
pkg,file iconpkg	Apple macOS (OS X) installer package
pkg,file iconpkg	Sony PlayStation 3 installation package
pkg_,file iconpkg_	Apple Newton package
plf,PatchLink Patch Developers Kit exported patch archive file
pma,MSX archive format
pn_,CAB archive
pod,Holy Games 2005 game archive
pod,Nocturne game archive
pod,Terminal Velocity archive
ppk,PPK archive
ppz,file iconppz	Microsoft PowerPoint 97/2002 packaged presentation
propdesc,file iconpropdesc	Microsoft property description data
psa,Pretty Simple Archive archive
pug,Prepare Ur Gui archive
pup,Puppy Linux DotPup installer package
pup,file iconpup	Sony PlayStation update
put,PUT compressed data
puz,file iconpuz	Microsoft Publisher packed document
pwzip,Polyworks compressed archive
pz,Compressed PNG image
pz,Panda3D Pzip compressed data
pzip,Zip compressed archive
qar,Quartus II project archive
qcf,QuikCAT compressed data
qch,Qt help compressed help
qda,Quadruple D archive
qif,DESQview compressed font archive
ql$,Microsoft compressed QLB data
qm3,Articulate Quizmaker compressed file
qta,qtar archive
quad,QUAD compressed archive
qze,file iconqze	QZip encrypted data
r00,file iconr00	Split Multi-volume RAR compressed file archive (part 2)
r01,file iconr01	Split Multi-volume RAR compressed file archive (part 3)
r02,file iconr02	Split Multi-volume RAR compressed file archive (part 4)
r03,file iconr03	Split Multi-volume RAR compressed file archive (part 5)
r04,file iconr04	Split Multi-volume RAR compressed file archive (part 6)
r05,file iconr05	Split Multi-volume RAR compressed file archive (part 7)
r06,file iconr06	Split Multi-volume RAR compressed file archive (part 8)
r07,file iconr07	Split Multi-volume RAR compressed file archive (part 9)
r08,file iconr08	Split Multi-volume RAR compressed file archive (part 10)
r09,file iconr09	Split Multi-volume RAR compressed file archive (part 11)
r10,file iconr10	Split Multi-volume RAR compressed file archive (part 12)
r11,file iconr11	Split Multi-volume RAR compressed file archive (part 13)
r12,file iconr12	Split Multi-volume RAR compressed file archive (part 14)
r13,file iconr13	Split Multi-volume RAR compressed file archive (part 15)
r14,file iconr14	Split Multi-volume RAR compressed file archive (part 16)
r15,file iconr15	Split Multi-volume RAR compressed file archive (part 17)
r16,file iconr16	Split Multi-volume RAR compressed file archive (part 18)
r17,file iconr17	Split Multi-volume RAR compressed file archive (part 19)
r18,file iconr18	Split Multi-volume RAR compressed file archive (part 20)
r19,file iconr19	Split Multi-volume RAR compressed file archive (part 21)
r20,file iconr20	Split Multi-volume RAR compressed file archive (part 22)
r21,file iconr21	Split Multi-volume RAR compressed file archive (part 23)
r22,file iconr22	Split Multi-volume RAR compressed file archive (part 24)
r23,file iconr23	Split Multi-volume RAR compressed file archive (part 25)
r24,file iconr24	Split Multi-volume RAR compressed file archive (part 26)
r25,file iconr25	Split Multi-volume RAR compressed file archive (part 27)
r26,file iconr26	Split Multi-volume RAR compressed file archive (part 28)
r27,file iconr27	Split Multi-volume RAR compressed file archive (part 29)
r28,file iconr28	Split Multi-volume RAR compressed file archive (part 30)
r29,file iconr29	Split Multi-volume RAR compressed file archive (part 31)
r30,Split Multi-volume RAR compressed file archive (part 32)
r31,file iconr31	Split Multi-volume RAR compressed file archive (part 33)
r32,file iconr32	Split Multi-volume RAR compressed file archive (part 34)
r33,file iconr33	Split Multi-volume RAR compressed file archive (part 35)
r34,file iconr34	Split Multi-volume RAR compressed file archive (part 36)
r35,file iconr35	Split Multi-volume RAR compressed file archive (part 37)
r36,file iconr36	Split Multi-volume RAR compressed file archive (part 38)
r37,file iconr37	Split Multi-volume RAR compressed file archive (part 39)
r38,file iconr38	Split Multi-volume RAR compressed file archive (part 40)
r39,file iconr39	Split Multi-volume RAR compressed file archive (part 41)
r40,file iconr40	Split Multi-volume RAR compressed file archive (part 42)
r41,file iconr41	Split Multi-volume RAR compressed file archive (part 43)
r42,file iconr42	Split Multi-volume RAR compressed file archive (part 44)
r43,file iconr43	Split Multi-volume RAR compressed file archive (part 45)
r44,file iconr44	Split Multi-volume RAR compressed file archive (part 46)
r45,file iconr45	Split Multi-volume RAR compressed file archive (part 47)
r46,file iconr46	Split Multi-volume RAR compressed archive (part 46)
r47,file iconr47	Split Multi-volume RAR compressed file archive (part 49)
r48,file iconr48	Split Multi-volume RAR compressed file archive (part 50)
r49,file iconr49	Split Multi-volume RAR compressed file archive (part 51)
r50,file iconr50	Split Multi-volume RAR compressed file archive (part 52)
r51,file iconr51	RAR compressed files from a multi-volume archive
r52,file iconr52	RAR compressed files from a multi-volume archive
r53,file iconr53	RAR compressed files from a multi-volume archive
r54,file iconr54	RAR compressed files from a multi-volume archive
r55,file iconr55	RAR compressed files from a multi-volume archive
r56,file iconr56	RAR compressed files from a multi-volume archive
r57,file iconr57	RAR compressed files from a multi-volume archive
r58,file iconr58	RAR compressed files from a multi-volume archive
r59,file iconr59	RAR compressed files from a multi-volume archive
r60,file iconr60	RAR compressed files from a multi-volume archive
r61,file iconr61	RAR compressed files from a multi-volume archive
r62,file iconr62	RAR compressed files from a multi-volume archive
r63,file iconr63	RAR compressed files from a multi-volume archive
r64,file iconr64	RAR compressed files from a multi-volume archive
r65,file iconr65	RAR compressed files from a multi-volume archive
r66,file iconr66	RAR compressed files from a multi-volume archive
r67,file iconr67	RAR compressed files from a multi-volume archive
r68,file iconr68	RAR compressed files from a multi-volume archive
r69,file iconr69	RAR compressed files from a multi-volume archive
r70,file iconr70	RAR compressed files from a multi-volume archive
r71,file iconr71	RAR compressed files from a multi-volume archive
r72,file iconr72	RAR compressed files from a multi-volume archive
r73,file iconr73	RAR compressed files from a multi-volume archive
r74,file iconr74	RAR compressed files from a multi-volume archive
r75,file iconr75	RAR compressed files from a multi-volume archive
r76,file iconr76	RAR compressed files from a multi-volume archive
r77,file iconr77	RAR compressed files from a multi-volume archive
r78,file iconr78	RAR compressed files from a multi-volume archive
r79,file iconr79	RAR compressed files from a multi-volume archive
r80,file iconr80	RAR compressed files from a multi-volume archive
r81,file iconr81	RAR compressed files from a multi-volume archive
r82,file iconr82	RAR compressed files from a multi-volume archive
r83,file iconr83	RAR compressed files from a multi-volume archive
r84,file iconr84	RAR compressed files from a multi-volume archive
r85,file iconr85	RAR compressed files from a multi-volume archive
r86,file iconr86	RAR compressed files from a multi-volume archive
r87,file iconr87	RAR compressed files from a multi-volume archive
r88,file iconr88	RAR compressed files from a multi-volume archive
r91,file iconr91	RAR compressed files from a multi-volume archive
r92,file iconr92	RAR compressed files from a multi-volume archive
r93,file iconr93	RAR compressed files from a multi-volume archive
r95,file iconr95	RAR compressed files from a multi-volume archive
r96,file iconr96	RAR compressed files from a multi-volume archive
r97,file iconr97	RAR compressed files from a multi-volume archive
r98,file iconr98	RAR compressed files from a multi-volume archive
r99,file iconr99	RAR compressed files from a multi-volume archive
rar,WinRAR RAR compressed archive
rar1,RAR archive
rar5,WinRAR 5 compressed archive file
rarx,Renamed RAR archive
rbz,Rail Baron Player saved game
res11,Mike 11 result data
rev,file iconrev	WinRAR recovery volume
rez,LithTech game engine resource data
rez,Resume Divider data
rfa,Battlefield 1942 game archive
rgss2a,RPG Maker VX RGSS encrypted archive
rk,WinRK archive
rnc,RNC ProPack archive file
roa,Remark Office OMR archive
rod,Hot Rod American Street Drag game file
roo,file iconroo	WinRAR archive
rpa,RIB iTWO project archive
rpm,file iconrpm	Linux package manager archive
rpz,Crystal Reports ZIP compressed and encrypted report file
rwp,RapidWeaver web package
rxx,file iconrxx	RAR compressed files from a multi-volume archive
rz,rzip compressed archive
rzr,file iconrzr	Renamed WinRAR archive
s00,Split Multi-volume ZipSplitter compressed file archive (part 1)
s01,Split Multi-volume ZipSplitter compressed file archive (part 2)
s04,Split Multi-volume ZipSplitter compressed file archive (part 5)
s05,Split Multi-volume ZipSplitter compressed file archive (part 6)
s06,Split Multi-volume ZipSplitter compressed file archive (part 7)
s08,Split Multi-volume ZipSplitter compressed file archive (part 9)
s09,Split Multi-volume ZipSplitter compressed file archive (part 10)
s7z,7-zip compressed file
sa5,SecretAgent archive file
sak,Postal game archive
sar,SAGE Timeslips archive file
sar,SAR compressed file archive (SAPCAR archive)
saz,file iconsaz	Fiddler session archive ZIP data
sbc,SBC Smart Book compiled distribution data
sbx,GLBasic Shoebox compressed file
scs,Hunting Unlimited 3 game data
sdi,System Deployment Image file
sdk,ShrinkIt compressed Apple II file archive
sdn,Shareware Distributors Network archive
sea,StuffIt Expander archive format
sea,file iconsea	ShrinkIt self-extracting archive
sed,file iconsed	Self extracting directive file
seg1,Stuffit segment file
sen,file iconsen	Scifer Archiver Internal Archive Format
sfds,Single File Data Storage format
sfl,AGON game file
sfpack,SFPack compressed soundfont
sh,Unix Shell archive
shar,Unix self extracting Bourne shell archive file
shr,Unix Shell archive (SHAR)
sin,SiN game file
sip,Scopetrax compressed sample file
sis,Psion software installation
sis,Symbian installation file
sisx,Symbian OS program installation executable
sit!,StuffIt Expander archive format
sit,file iconsit	StuffIt archive format
sit5,StuffIt 5 archive format
sitd,StuffIt archive
sithqx,StuffIt compressed archive
sitx,StuffIt archive
sle,Steganos Security Suite virtual secure drive
slf,Jagged Alliance 2 game file
smilebox,Smilebox Starter archive
sna,Drive SnapShot disk image
snagitstamps,SnagIt archive
snap,Snappy package
snappy,Snappy compressed data
sni,MDK game archive
snoop,Sun SNOOP capture file format
solitairetheme8,LoversLab renamed RAR archive
soundpack,Stardock SoundPackager sound package
spar,Simple Perl ARchive manager file
spk,Synology DiskStation DSM package file
spkg,Sage package
split,Split data
sqfs,SquashFS bootable file
sqh,Harbinger game file
sqx,SQX Archiver compressed archive
srep,SuperREP archive
srr,ReScene Data Recovery archive
ssa,Visual SourceSafe backup archive
ssy,ScreenShare compressed data
stuff,Eve Online game archive
su?,Standard mail archive file
sue,SUE ARC archive
swm,file iconswm	Windows Imaging Format split archive
sxf,Secure eXchange Format
szdd,Compressed archive
t,TAR Tape Archive without compression
ta_,7-Zip 7z compressed archive
tar,Unix standard Archive format, Tape Archive
tar-gz,Gzip compressed TAR archive
tar-z,TAR compressed archive
tar.gz,Old version Gzip compressed TAR Archive
tar.xz,XZ compressed TAR archive
tar.z,Tar.Z compressed archive
taraa,Linux TAR split archive file
tardist,Tardist compressed archive
taz,file icontaz	TAR compressed archive
tbz,bzip2 compressed TAR archive
tbz2,BZIP/TAR compressed archive
tck,BMIScan compressed archive
td?,TeleDisk archive file
tex,Hitman game file
texturepack,Arena Wars texture pack
tg,Gzip compressed tar archive
tgz,Gzip compressed TAR archive
tld,Teledisk disk archive file
to4,Top 4 compressed data file
tos,Atari ST TOS archive
tot,LG firmware archive
tpz,TAR.GZ compressed file archive
tsk,file icontsk	Windows Mobile skin or theme
tx_,Compressed txt file
txz,XZ compressed TAR archive
tz,TAR.Z compressed file archive
tzb,TAR.Z.btoa compressed file archive (TAR - Compress - Btoa)
tzip,Tzip archive
u3p,U3 Platform install data
uax,file iconuax	Unreal audio package
uc2,UltraCompressor II compressed archive
ufdr,UFED Physical Analyzer report package
ufo,Total Annihilation third-party unit data
ufs.uzip,FreeBSD Compressed Unix File System file
uha,UHARC compressed archive
ums,Dragon UnPACKer 5 archive
umx,file iconumx	Unreal Engine music package
unitypackage,Unity package
upx,Ultimate Packer for eXecutable archive
uti,SafeGuard PrivateCrypto encrypted archive file
utx,file iconutx	Unreal texture
uue,UUEncoded data
uvz,DECE ZIP compressed data
uze,UltimateZip compressed archive
uzip,FreeBSD compressed disk image
vem,Sony Micro Vault compressed file
vfs,UFO game archive
vl2,Tribes 2 game data
vmk,Visual Module of Knowledge Data
vnw,file iconvnw	Renamed RAR archive
vol1.egg,Split Multi-volume ALZip EGG compressed file archive (part 1)
vol5.egg,Split Multi-volume ALZip EGG compressed file archive (part 5)
volarchive,CopyCatX volume file
vsa,file iconvsa	Symantec Virtual Package Editor virtual software archive
vsi,file iconvsi	Visual Studio Content Installer data
vsix,file iconvsix	Microsoft Visual Studio extension package
vty,ViTALiTy warez release file
vxp,Maui Runtime Environment application
w2b,WinBackup archive file
w32,Win 32 package file
wad,Theme Park World game archive
wad,WAD Manager Wii channel archive file
wad,file iconwad	Quake engine texture file
waff,IE for Mac saved web page file format
wapt,WAPT package
war,Archived Konqueror HTML page
war,file iconwar	Java web archive
warc,Web ARChive file format
wbpz,ANSYS update package
wdz,WinDev ZIP archive
webarchive,file iconwebarchive	Apple Safari web archive
wfa,WinFax Pro archive
wgz,S60 Web Runtime Widget package file
wlpk,Renault R-Link update package
wmz,Windows Media Player compressed skin
wra,Wraptor compressed archive
wrc,FreeArc archive file
wrz,Cosmo Player VRML worlds
wsz,file iconwsz	Winamp ZIP compressed skin
wwa,WebSite-Watcher archive
wz,MapleStory game data archive
wzp,AMP1-16 renamed ZIP file
x,Alysis SuperDisk self-extracting archive
x13,Hooligans game archive
xap,file iconxap	Microsoft Windows Phone and Microsoft Silverlight application package
xar,eXtensible ARchiver archive
xcp,Xbox compressed package
xcr,Warlords Battlecry game file
xdelta,Xdelta binary differential data
xez,X-Genics eManager template package
xfl,file iconxfl	Adobe Flash exchange data
xmcdz,PTC Mathcad compressed worksheet
xmi,XMill compressed XML file
xrs,Dig It! game file
xsn,file iconxsn	Microsoft Office InfoPath template form
xtr,RealArcade compressed data
xx,XXEncoded data
xxl,File Archive Handler compressed archive
xz,XZ Utils compressed archive
xzm,Porteus Linux package
y,Amiga Yabba compressed archive
yar,YAK compressed archive
yaz0,YAZ0 compressed archive
ymp,YaST metapackage
yrcbkm,YRC Weblink bookmarks archive file
yz,YAC compressed archive
yz1,Yamazaki zipper archive
z,InstallShield archive file
z,file iconz	Unix compressed archive
z01,file iconz01	Split Multi-volume ZIP compressed file archive (part 2)
z02,file iconz02	Split Multi-volume ZIP compressed file archive (part 3)
z03,file iconz03	Split Multi-volume ZIP compressed file archive (part 4)
z04,file iconz04	Split Multi-volume ZIP compressed file archive (part 5)
z05,file iconz05	Split Multi-volume ZIP compressed file archive (part 6)
z06,file iconz06	Split Multi-volume ZIP compressed file archive (part 7)
z07,file iconz07	Split Multi-volume ZIP compressed file archive (part 8)
z08,file iconz08	Split Multi-volume ZIP compressed file archive (part 9)
z09,file iconz09	Split Multi-volume ZIP compressed file archive (part 10)
z10,file iconz10	Split Multi-volume ZIP compressed file archive (part 11)
z11,file iconz11	Split Multi-volume ZIP compressed file archive (part 12)
z12,file iconz12	Split Multi-volume ZIP compressed file archive (part 13)
z13,file iconz13	Split Multi-volume ZIP compressed file archive (part 14)
z14,file iconz14	Split Multi-volume ZIP compressed file archive (part 15)
z15,file iconz15	Split Multi-volume ZIP compressed file archive (part 16)
z16,file iconz16	Split Multi-volume ZIP compressed file archive (part 17)
z17,file iconz17	Split Multi-volume ZIP compressed file archive (part 18)
z18,file iconz18	Split Multi-volume ZIP compressed file archive (part 19)
z19,file iconz19	Split Multi-volume ZIP compressed file archive (part 20)
z20,file iconz20	Split Multi-volume ZIP compressed file archive (part 21)
z96,Split Multi-volume ZIP compressed file archive (part 97)
zab,Zipped audio book
zabw,G-Zipped AbiWord document
zap,FileWrangler archive
zar,ZEMAX archive
zba,Compressed data
zda,Furuno GP32 ZDA compressed archive
zdb,CostOS Estimating zipped resources database
zds,DVDSubber DVD subtitles and DVD scripts
zet,ZET compressed archive
zfc,Back4Win Backup archive file
zfs,Interstate '76 and '82 game archive
zfsendtotarget,Windows XP ZIP Compressed Folder
zi,Renamed ZIP archive
zim,Wiki archive file
zip,file iconzip	ObjectBar theme pack file format
zip,file iconzip	WinZIP Compressed ZIP archive
zip2,StuffIt archive
zipx,file iconzipx	Extended Zip archive
zl,Zlib compressed archive
zlg,e-Surveiller log archive file
zlib,Zlib archive
zom,Zoom compressed Amiga file archive
zoo,file iconzoo	ZOO Compressed file
zpaq,ZPAQ compressed archive
zpk,Z-Firm package
zsplit,Incredible Bee Archiver split archive
ztd,Zoo Tycoon game file
zx01,Extended ZIP split archive
zx02,Extended ZIP split archive
zxp,file iconzxp	Adobe zip format extension package
zz,ZZip compressed archive
